Word,Word_ID,matrix_bits
intelligente,203,000000000010000000000000
スマート,204,000000000001000000000000
slim,205,000000000000100000000000
умный,206,000000000000010000000000
ฉลาด,207,000000000000001000000000
akıllı,208,000000000000000100000000
thông minh,209,000000000000000010000000
聪明,210,000000000000000001000000
똑똑한,211,000000000000000000100000
جمال,212,000000000000000000010000
Schönheit,213,000000000000000000001000
beauty,214,000000000000000000000100
belleza,215,000000000000000000000010
beauté,216,000000000000000000000001
सौंदर्य,217,100000000000000000000000
kecantikan,218,010000000000000000000000
bellezza,219,001000000000000000000000
美しさ,220,000100000000000000000000
schoonheid,221,000010000000000000000000
beleza,222,000001000000000000000000
красота,223,000000100000000000000000
ความงาม,224,000000010000000000000000
güzellik,225,000000001000000000000000
vẻ đẹp,226,000000000100000000000000
美丽,227,000000000010000000000000
아름다움,228,000000000001000000000000
شرف,229,000000000000100000000000
Ehre,230,000000000000010000000000
honor,231,000000000000001000000000
honneur,232,000000000000000100000000
शान,233,000000000000000010000000
kehormatan,234,000000000000000001000000
onore,235,000000000000000000100000
名誉,236,000000000000000000010000
eer,237,000000000000000000001000
honra,238,000000000000000000000100
честь,239,000000000000000000000010
เกียรติยศ,240,000000000000000000000001
onur,241,100000000000000000000000
vinh dự,242,010000000000000000000000
荣誉,243,001000000000000000000000
명예,244,000100000000000000000000
نجاة,245,000010000000000000000000
Überleben,246,000001000000000000000000
survival,247,000000100000000000000000
supervivencia,248,000000010000000000000000
survie,249,000000001000000000000000
जीवन बचाना,250,000000000100000000000000
kelangsungan hidup,251,000000000010000000000000
sopravvivenza,252,000000000001000000000000
生存,253,000000000000100000000000
overleving,254,000000000000010000000000
sobrevivência,255,000000000000001000000000
выживание,256,000000000000000100000000
การอยู่รอด,257,000000000000000010000000
yaşam,258,000000000000000001000000
sự sống còn,259,000000000000000000100000
생존,260,000000000000000000010000
مغامرة,261,000000000000000000001000
Abenteuer,262,000000000000000000000100
adventure,263,000000000000000000000010
aventura,264,000000000000000000000001
aventure,265,100000000000000000000000
साहसिक कार्य,266,010000000000000000000000
petualangan,267,001000000000000000000000
avventura,268,000100000000000000000000
冒険,269,000010000000000000000000
avontuur,270,000001000000000000000000
приключение,271,000000100000000000000000
การผจญภัย,272,000000010000000000000000
macera,273,000000001000000000000000
phiêu lưu,274,000000000100000000000000
冒险,275,000000000010000000000000
모험,276,000000000001000000000000
بركات,277,000000000000100000000000
Segen,278,000000000000010000000000
blessings,279,000000000000001000000000
bendiciones,280,000000000000000100000000
bénédictions,281,000000000000000010000000
आशीर्वाद,282,000000000000000001000000
berkat,283,000000000000000000100000
benedizioni,284,000000000000000000010000
祝福,285,000000000000000000001000
zegeningen,286,000000000000000000000100
bênçãos,287,000000000000000000000010
благословения,288,000000000000000000000001
บารมี,289,100000000000000000000000
kutlama,290,010000000000000000000000
phúc lộc,291,001000000000000000000000
축복,292,000100000000000000000000
صحة جيدة,293,000010000000000000000000
gute Gesundheit,294,000001000000000000000000
good health,295,000000100000000000000000
buena salud,296,000000010000000000000000
bonne santé,297,000000001000000000000000
अच्छी सेहत,298,000000000100000000000000
kesehatan yang baik,299,000000000010000000000000
buona salute,300,000000000001000000000000
健康,301,000000000000100000000000
goede gezondheid,302,000000000000010000000000
boa saúde,303,000000000000001000000000
здоровье,304,000000000000000100000000
สุขภาพดี,305,000000000000000010000000
iyi sağlık,306,000000000000000001000000
sức khỏe tốt,307,000000000000000000100000
건강,308,000000000000000000010000
نجاح,309,000000000000000000001000
Erfolg,310,000000000000000000000100
success,311,000000000000000000000010
éxito,312,000000000000000000000001
succès,313,100000000000000000000000
सफलता,314,010000000000000000000000
sukses,315,001000000000000000000000
successo,316,000100000000000000000000
成功,317,000010000000000000000000
succes,318,000001000000000000000000
sucesso,319,000000100000000000000000
успех,320,000000010000000000000000
ความสำเร็จ,321,000000001000000000000000
başarı,322,000000000100000000000000
thành công,323,000000000010000000000000
성공,324,000000000001000000000000
ازدهار,325,000000000000100000000000
Wohlstand,326,000000000000010000000000
prosperity,327,000000000000001000000000
prosperidad,328,000000000000000100000000
prospérité,329,000000000000000010000000
समृद्धि,330,000000000000000001000000
kemakmuran,331,000000000000000000100000
prosperità,332,000000000000000000010000
繁栄,333,000000000000000000001000
welvaart,334,000000000000000000000100
prosperidade,335,000000000000000000000010
процветание,336,000000000000000000000001
ความเจริญรุ่งเรือง,337,100000000000000000000000
refah,338,010000000000000000000000
thịnh vượng,339,001000000000000000000000
繁荣,340,000100000000000000000000
번영,341,000010000000000000000000
فرح,342,000001000000000000000000
Freude,343,000000100000000000000000
joy,344,000000010000000000000000
alegría,345,000000001000000000000000
joie,346,000000000100000000000000
खुशहाली,347,000000000010000000000000
kegembiraan,348,000000000001000000000000
gioia,349,000000000000100000000000
喜び,350,000000000000010000000000
vreugde,351,000000000000001000000000
alegria,352,000000000000000100000000
радость,353,000000000000000010000000
ความสุขของใจ,354,000000000000000001000000
sevinç,355,000000000000000000100000
niềm vui,356,000000000000000000010000
喜悦,357,000000000000000000001000
기쁨,358,000000000000000000000100
لطف,359,000000000000000000000010
Freundlichkeit,360,000000000000000000000001
kindness,361,100000000000000000000000
amabilidad,362,010000000000000000000000
bonté,363,001000000000000000000000
kebaikan,364,000100000000000000000000
gentilezza,365,000010000000000000000000
親切,366,000001000000000000000000
vriendelijkheid,367,000000100000000000000000
amabilidade,368,000000010000000000000000
доброта,369,000000001000000000000000
hoşgörü,370,000000000100000000000000
tình thân ái,371,000000000010000000000000
善良,372,000000000001000000000000
친절,373,000000000000100000000000
الانسجام,374,000000000000010000000000
Harmonie,375,000000000000001000000000
harmony,376,000000000000000100000000
armonía,377,000000000000000010000000
harmonie,378,000000000000000001000000
सद्भाव,379,000000000000000000100000
keselarasan,380,000000000000000000010000
armonia,381,000000000000000000001000
ハーモニー,382,000000000000000000000100
harmonia,383,000000000000000000000010
гармония,384,000000000000000000000001
ความสอดคล้องกัน,385,100000000000000000000000
uyum,386,010000000000000000000000
hài hòa,387,001000000000000000000000
和谐,388,000100000000000000000000
조화,389,000010000000000000000000
صداقة,390,000001000000000000000000
Freundschaft,391,000000100000000000000000
friendship,392,000000010000000000000000
amistad,393,000000001000000000000000
amitié,394,000000000100000000000000
दोस्ती,395,000000000010000000000000
persahabatan,396,000000000001000000000000
amicizia,397,000000000000100000000000
友情,398,000000000000010000000000
vriendschap,399,000000000000001000000000
amizade,400,000000000000000100000000
дружба,401,000000000000000010000000
มิตรภาพ,402,000000000000000001000000
arkadaşlık,403,000000000000000000100000
tình bạn,404,000000000000000000010000
友谊,405,000000000000000000001000
우정,406,000000000000000000000100
ثروة,407,000000000000000000000010
Reichtum,408,000000000000000000000001
wealth,409,100000000000000000000000
riqueza,410,010000000000000000000000
richesse,411,001000000000000000000000
धन,412,000100000000000000000000
kekayaan,413,000010000000000000000000
ricchezza,414,000001000000000000000000
富,415,000000100000000000000000
rijkdom,416,000000010000000000000000
богатство,417,000000001000000000000000
ความมั่งคั่ง,418,000000000100000000000000
servet,419,000000000010000000000000
giàu có,420,000000000001000000000000
财富,421,000000000000100000000000
부,422,000000000000010000000000
صبر,423,000000000000001000000000
Geduld,424,000000000000000100000000
patience,425,000000000000000010000000
paciencia,426,000000000000000001000000
धैर्य,427,000000000000000000100000
kesabaran,428,000000000000000000010000
pazienza,429,000000000000000000001000
忍耐,430,000000000000000000000100
geduld,431,000000000000000000000010
paciência,432,000000000000000000000001
терпение,433,100000000000000000000000
ความอดทน,434,010000000000000000000000
sabır,435,001000000000000000000000
kiên nhẫn,436,000100000000000000000000
耐心,437,000010000000000000000000
인내심,438,000001000000000000000000
كرم,439,000000100000000000000000
Großzügigkeit,440,000000010000000000000000
generosity,441,000000001000000000000000
generosidad,442,000000000100000000000000
générosité,443,000000000010000000000000
उदारता,444,000000000001000000000000
kemurahan hati,445,000000000000100000000000
generosità,446,000000000000010000000000
気前の良さ,447,000000000000001000000000
geven,448,000000000000000100000000
generosidade,449,000000000000000010000000
щедрость,450,000000000000000001000000
cömertlik,451,000000000000000000100000
vị tha,452,000000000000000000010000
慷慨,453,000000000000000000001000
관대함,454,000000000000000000000100
تواضع,455,000000000000000000000010
Demut,456,000000000000000000000001
humility,457,100000000000000000000000
humildad,458,010000000000000000000000
humilité,459,001000000000000000000000
विनम्रता,460,000100000000000000000000
kerendahan hati,461,000010000000000000000000
umiltà,462,000001000000000000000000
謙虚,463,000000100000000000000000
nederigheid,464,000000010000000000000000
humildade,465,000000001000000000000000
смирение,466,000000000100000000000000
ความเบิกบานใจ,467,000000000010000000000000
alçakgönüllülük,468,000000000001000000000000
khiêm tốn,469,000000000000100000000000
谦逊,470,000000000000010000000000
겸손,471,000000000000001000000000
امتنان,472,000000000000000100000000
Dankbarkeit,473,000000000000000010000000
gratitude,474,000000000000000001000000
gratitud,475,000000000000000000100000
कृतज्ञता,476,000000000000000000010000
berterima kasih,477,000000000000000000001000
gratitudine,478,000000000000000000000100
感謝,479,000000000000000000000010
dankbaarheid,480,000000000000000000000001
gratidão,481,100000000000000000000000
благодарность,482,010000000000000000000000
ความขอบคุณ,483,001000000000000000000000
minnettarlık,484,000100000000000000000000
biết ơn,485,000010000000000000000000
感恩,486,000001000000000000000000
감사,487,000000100000000000000000
ملاحظة,488,000000010000000000000000
Beobachtung,489,000000001000000000000000
observation,490,000000000100000000000000
observación,491,000000000010000000000000
अवलोकन,492,000000000001000000000000
observasi,493,000000000000100000000000
osservazione,494,000000000000010000000000
観察,495,000000000000001000000000
observatie,496,000000000000000100000000
observação,497,000000000000000010000000
наблюдение,498,000000000000000001000000
การสังเกตการณ์,499,000000000000000000100000
gözlem,500,000000000000000000010000
quan sát,501,000000000000000000001000
观察,502,000000000000000000000100
관찰,503,000000000000000000000010
استكشاف,504,000000000000000000000001
Erforschung,505,100000000000000000000000
exploration,506,010000000000000000000000
exploración,507,001000000000000000000000
अन्वेषण,508,000100000000000000000000
eksplorasi,509,000010000000000000000000
esplorazione,510,000001000000000000000000
探検,511,000000100000000000000000
verkenning,512,000000010000000000000000
exploração,513,000000001000000000000000
исследование,514,000000000100000000000000
การสำรวจ,515,000000000010000000000000
keşif,516,000000000001000000000000
khám phá,517,000000000000100000000000
探索,518,000000000000010000000000
탐색,519,000000000000001000000000
إدراك,520,000000000000000100000000
Wahrnehmung,521,000000000000000010000000
perception,522,000000000000000001000000
percepción,523,000000000000000000100000
अनुभूति,524,000000000000000000010000
persepsi,525,000000000000000000001000
percezione,526,000000000000000000000100
知覚,527,000000000000000000000010
waarneming,528,000000000000000000000001
percepção,529,100000000000000000000000
восприятие,530,010000000000000000000000
การรับรู้,531,001000000000000000000000
algı,532,000100000000000000000000
nhận thức,533,000010000000000000000000
知觉,534,000001000000000000000000
지각,535,000000100000000000000000
خلق,536,000000010000000000000000
Schöpfung,537,000000001000000000000000
creation,538,000000000100000000000000
creación,539,000000000010000000000000
création,540,000000000001000000000000
सृजन,541,000000000000100000000000
penciptaan,542,000000000000010000000000
creazione,543,000000000000001000000000
創造,544,000000000000000100000000
creatie,545,000000000000000010000000
criação,546,000000000000000001000000
создание,547,000000000000000000100000
สร้าง,548,000000000000000000010000
yaratma,549,000000000000000000001000
sáng tạo,550,000000000000000000000100
创造,551,000000000000000000000010
창조,552,000000000000000000000001
دفع,553,100000000000000000000000
Druck,554,010000000000000000000000
push,555,001000000000000000000000
empuje,556,000100000000000000000000
poussée,557,000010000000000000000000
धक्का,558,000001000000000000000000
dorong,559,000000100000000000000000
spinta,560,000000010000000000000000
押す,561,000000001000000000000000
duwen,562,000000000100000000000000
empurrar,563,000000000010000000000000
толкать,564,000000000001000000000000
การผลัก,565,000000000000100000000000
itme,566,000000000000010000000000
đẩy,567,000000000000001000000000
推动,568,000000000000000100000000
밀어내기,569,000000000000000010000000
شعر,570,000000000000000001000000
Poesie,571,000000000000000000100000
poetry,572,000000000000000000010000
poesía,573,000000000000000000001000
poésie,574,000000000000000000000100
कविता,575,000000000000000000000010
puisi,576,000000000000000000000001
poesia,577,100000000000000000000000
詩,578,010000000000000000000000
poëzie,579,001000000000000000000000
поэзия,580,000100000000000000000000
บทกวี,581,000010000000000000000000
şiir,582,000001000000000000000000
thơ,583,000000100000000000000000
诗歌,584,000000010000000000000000
시,585,000000001000000000000000
تجربة,586,000000000100000000000000
Erfahrung,587,000000000010000000000000
experience,588,000000000001000000000000
experiencia,589,000000000000100000000000
expérience,590,000000000000010000000000
अनुभव,591,000000000000001000000000
pengalaman,592,000000000000000100000000
esperienza,593,000000000000000010000000
経験,594,000000000000000001000000
ervaring,595,000000000000000000100000
experiência,596,000000000000000000010000
опыт,597,000000000000000000001000
ประสบการณ์,598,000000000000000000000100
deneyim,599,000000000000000000000010
kinh nghiệm,600,000000000000000000000001
经验,601,100000000000000000000000
경험,602,010000000000000000000000
حكمة,603,001000000000000000000000
Weisheit,604,000100000000000000000000
wisdom,605,000010000000000000000000
sabiduría,606,000001000000000000000000
sagesse,607,000000100000000000000000
बुद्धि,608,000000010000000000000000
kebijaksanaan,609,000000001000000000000000
saggezza,610,000000000100000000000000
知恵,611,000000000010000000000000
wijsheid,612,000000000001000000000000
sabedoria,613,000000000000100000000000
мудрость,614,000000000000010000000000
ปัญญา,615,000000000000001000000000
bilgelik,616,000000000000000100000000
trí tuệ,617,000000000000000010000000
智慧,618,000000000000000001000000
지혜,619,000000000000000000100000
حلم,620,000000000000000000010000
Traum,621,000000000000000000001000
dream,622,000000000000000000000100
sueño,623,000000000000000000000010
rêve,624,000000000000000000000001
सपना,625,100000000000000000000000
mimpi,626,010000000000000000000000
sogno,627,001000000000000000000000
夢,628,000100000000000000000000
droom,629,000010000000000000000000
sonho,630,000001000000000000000000
мечта,631,000000100000000000000000
ฝัน,632,000000010000000000000000
hayal,633,000000001000000000000000
giấc mơ,634,000000000100000000000000
梦想,635,000000000010000000000000
꿈,636,000000000001000000000000
زعيم,637,000000000000100000000000
Führer,638,000000000000010000000000
leader,639,000000000000001000000000
líder,640,000000000000000100000000
chef,641,000000000000000010000000
नेता,642,000000000000000001000000
pemimpin,643,000000000000000000100000
capo,644,000000000000000000010000
リーダー,645,000000000000000000001000
leider,646,000000000000000000000100
лидер,647,000000000000000000000010
ผู้นำ,648,000000000000000000000001
lider,649,100000000000000000000000
người lãnh đạo,650,010000000000000000000000
领导,651,001000000000000000000000
지도자,652,000100000000000000000000
تعليم,653,000010000000000000000000
lehren,654,000001000000000000000000
teach,655,000000100000000000000000
enseñar,656,000000010000000000000000
enseigner,657,000000001000000000000000
पढ़ाना,658,000000000100000000000000
ajar,659,000000000010000000000000
insegnare,660,000000000001000000000000
教える,661,000000000000100000000000
leren,662,000000000000010000000000
ensinar,663,000000000000001000000000
обучать,664,000000000000000100000000
สอน,665,000000000000000010000000
öğretmek,666,000000000000000001000000
giảng dạy,667,000000000000000000100000
教导,668,000000000000000000010000
가르치다,669,000000000000000000001000
يأس,670,000000000000000000000100
Verzweiflung,671,000000000000000000000010
despair,672,000000000000000000000001
desesperación,673,100000000000000000000000
désespoir,674,010000000000000000000000
निराशा,675,001000000000000000000000
putus asa,676,000100000000000000000000
disperazione,677,000010000000000000000000
絶望,678,000001000000000000000000
wanhoop,679,000000100000000000000000
desespero,680,000000010000000000000000
отчаяние,681,000000001000000000000000
ความหมดหวัง,682,000000000100000000000000
umutsuzluk,683,000000000010000000000000
tuyệt vọng,684,000000000001000000000000
绝望,685,000000000000100000000000
절망,686,000000000000010000000000
لا يُنْسَى,687,000000000000001000000000
unvergesslich,688,000000000000000100000000
unforgettable,689,000000000000000010000000
inolvidable,690,000000000000000001000000
inoubliable,691,000000000000000000100000
भुला नहीं सकता,692,000000000000000000010000
tak terlupakan,693,000000000000000000001000
indimenticabile,694,000000000000000000000100
忘れられない,695,000000000000000000000010
onvergetelijk,696,000000000000000000000001
inolvidável,697,100000000000000000000000
незабываемый,698,010000000000000000000000
ไม่ลืมได้,699,001000000000000000000000
unutulmaz,700,000100000000000000000000
không thể quên,701,000010000000000000000000
难忘,702,000001000000000000000000
잊을 수 없는,703,000000100000000000000000
طازج,704,000000010000000000000000
frisch,705,000000001000000000000000
fresh,706,000000000100000000000000
fresco,707,000000000010000000000000
fraîche,708,000000000001000000000000
ताजगी,709,000000000000100000000000
segar,710,000000000000010000000000
新鮮な,711,000000000000001000000000
vers,712,000000000000000100000000
свежий,713,000000000000000010000000
สดใหม่,714,000000000000000001000000
taze,715,000000000000000000100000
tươi,716,000000000000000000010000
新鲜,717,000000000000000000001000
신선한,718,000000000000000000000100
مرونة,719,000000000000000000000010
robust,720,000000000000000000000001
resilient,721,100000000000000000000000
resistente,722,010000000000000000000000
résistant,723,001000000000000000000000
लचीला,724,000100000000000000000000
tahan lama,725,000010000000000000000000
弾力性のある,726,000001000000000000000000
veerkrachtig,727,000000100000000000000000
resiliente,728,000000010000000000000000
жизнестойкий,729,000000001000000000000000
ทนทาน,730,000000000100000000000000
esnek,731,000000000010000000000000
bền vững,732,000000000001000000000000
坚韧,733,000000000000100000000000
탄력있는,734,000000000000010000000000
ابتسامة,735,000000000000001000000000
Lächeln,736,000000000000000100000000
smile,737,000000000000000010000000
sonrisa,738,000000000000000001000000
sourire,739,000000000000000000100000
मुस्कुराहट,740,000000000000000000010000
senyum,741,000000000000000000001000
sorriso,742,000000000000000000000100
微笑み,743,000000000000000000000010
glimlach,744,000000000000000000000001
улыбка,745,100000000000000000000000
ยิ้ม,746,010000000000000000000000
gülümseme,747,001000000000000000000000
nụ cười,748,000100000000000000000000
微笑,749,000010000000000000000000
미소,750,000001000000000000000000
مستقبل,751,000000100000000000000000
Zukunft,752,000000010000000000000000
future,753,000000001000000000000000
futuro,754,000000000100000000000000
avenir,755,000000000010000000000000
भविष्य,756,000000000001000000000000
masa depan,757,000000000000100000000000
未来,758,000000000000010000000000
toekomst,759,000000000000001000000000
будущее,760,000000000000000100000000
อนาคต,761,000000000000000010000000
gelecek,762,000000000000000001000000
tương lai,763,000000000000000000100000
미래,764,000000000000000000010000
لامع,765,000000000000000000001000
glänzend,766,000000000000000000000100
brilliant,767,000000000000000000000010
brillante,768,000000000000000000000001
brillant,769,100000000000000000000000
उल्लेखनीय,770,010000000000000000000000
brilian,771,001000000000000000000000
輝かしい,772,000100000000000000000000
briljant,773,000010000000000000000000
brilhante,774,000001000000000000000000
блестящий,775,000000100000000000000000
ยอดเยี่ยม,776,000000010000000000000000
parlak,777,000000001000000000000000
tuyệt vời,778,000000000100000000000000
辉煌,779,000000000010000000000000
빛나는,780,000000000001000000000000
هدوء,781,000000000000100000000000
Stille,782,000000000000010000000000
stillness,783,000000000000001000000000
quietud,784,000000000000000100000000
calme,785,000000000000000010000000
ketenangan,786,000000000000000001000000
immobilità,787,000000000000000000100000
静けさ,788,000000000000000000010000
stilte,789,000000000000000000001000
tranquilidade,790,000000000000000000000100
спокойствие,791,000000000000000000000010
ความเงียบ,792,000000000000000000000001
sessizlik,793,100000000000000000000000
tĩnh lặng,794,010000000000000000000000
寂静,795,001000000000000000000000
고요,796,000100000000000000000000
جليل,797,000010000000000000000000
majestätisch,798,000001000000000000000000
majestic,799,000000100000000000000000
majestuoso,800,000000010000000000000000
majestueux,801,000000001000000000000000
शानदार,802,000000000100000000000000
megah,803,000000000010000000000000
maestoso,804,000000000001000000000000
荘厳な,805,000000000000100000000000
majestueus,806,000000000000010000000000
majestoso,807,000000000000001000000000
величественный,808,000000000000000100000000
งดงาม,809,000000000000000010000000
muhteşem,810,000000000000000001000000
tráng lệ,811,000000000000000000100000
威严,812,000000000000000000010000
웅장한,813,000000000000000000001000
